,dialog_act,utterance
353,request,"could i have the address phone number and postcode
"
354,inform,"im looking for a restaurant in the south part of town that serves vietnamese food
"
355,null,"range that serves cana
"
356,inform,"the east part of town
"
357,inform,"looking for a restaurant in the north part of town that serves swedish food
"
358,inform,"indonesian food
"
359,inform,"i want moderately priced restaurant it should be in the south part of town
"
360,inform,"im looking for a restaurant in the center of town that
"
361,confirm,"does it serve m african food
"
362,request,"what is the phone number and type of food
"
363,inform,"i am looking for a cheap restaurant that serves germ
"
364,inform,"moderately priced restaurant in the north part of town
"
365,inform,"i am looking for an expensive restaurant serving kitalian food
"
366,inform,"i need a restaurant that serves asian oriental food
"
367,inform,"im looking for a restaurant that serves swiss food
"
368,null,"can i get a
"
369,reqalts,"how about modern europone
"
370,request,"can i get their address and phone number
"
371,inform,"noise food
"
372,request,"can i have the address and phone
"
373,inform,"any spanish
"
374,inform,"swedish
"
375,inform,"im looking for a restaurant in the south part of town that serves pan asian food
"
376,confirm,"okay is it in the north side of town
"
377,inform,"cheap
"
378,null,"and
"
379,null,"um what
"
380,affirm,"uh yes can i get a cheap restaurant in the west part of town
"
381,inform,"i need a cheap restaurant serving italian food
"
382,inform,"restaurant in south part of town serves
"
383,inform,"doesnt it does not matter
"
384,inform,"west part of town moderately priced
"
385,inform,"find gastro pub type food
"
386,request,"can i have its post code
"
387,request,"may i have the address and price range
"
388,inform,"looking for a restaurant in the south part of town
"
389,inform,"im looking for food in the south part of town
"
390,inform,"i want a korean restaurant
"
391,null,"that serves unintelligible
"
392,inform,"expensive east part of town
"
393,inform,"restaurant in the south part of town serving turkish food
"
394,inform,"unintelligible restaurant in west part of town
"
395,reqalts,"how about italian type of food
"
396,null,"make a suggestion
"
397,inform,"a cheap restaurant in the west part of town
"
398,inform,"that serves corsica
"
399,inform,"im looking for a restaurant that serves polynesian food
"
400,inform,"im looking for a moderately priced restaurant that serves tuscan food
"
401,inform,"chinese food please
"
402,inform,"i am looking for asian oriental type food
"
403,inform,"it doesnt matter salad
"
404,inform,"i want a restaurant in the center of town that serves vinesha
"
405,inform,"im looking for a restaurant in the north part of town serving in
"
406,inform,"im looking for an expensive restaurant in the south
"
407,inform,"i dont care
"
408,inform,"system im looking for expensive restaurant
"
409,inform,"does not matter
"
410,inform,"id like an expensive thai restaurant
"
411,request,"and can i have the phone number
"
412,request,"what type of food
"
413,request,"type of food does it serve
"
414,request,"okay and whats the phone number
"
415,request,"do you have the address of the lucky star
"
416,reqalts,"okay what about north american food
"
417,inform,"i need a restaurant in the north part of town that serves lebanese food
"
418,negate,"no i want belgium food
"
419,reqalts,"cross talk how about gastro pub
"
420,inform,"expensive restaurant that serves lebanese food
"
421,inform,"mediterranean restaurant
"
422,inform,"moderately priced restaurant in
"
423,inform,"im looking for an expensive restaurant that serves english food
"
424,inform,"moderate please
"
425,inform,"could i have brazilian food
"
426,inform,"i am looking for a restaurant in the west part of town
"
427,inform,"can i have a restaurant in the center
"
428,request,"tell me the address
"
429,request,"what is the address and type of food
"
430,inform,"tv_noise im looking for a restaurant in the moderately pri
"
431,inform,"id like a moderately priced restaurant that serves
"
432,inform,"id like thai food please
"
433,inform,"i want a restaurant that serves cantonese food
"
434,request,"okay what kind of food
"
435,inform,"i want something in the south part of town
"
436,inform,"looking for a restaurant in any area
"
437,inform,"malaysian food in the south part of town
"
438,affirm,"yes serving cuban food
"
439,inform,"are there mediterranean restaurants in the center of town
"
440,null,"s
"
441,inform,"dont care dont care dont care
"
442,inform,"im looking for a world food restaurant in the east part of town
"
443,deny,"i dont want chinese i want thai food
"
444,negate,"no im looking for a unintelligible that serves english food
"
445,inform,"im looking for a restaurant that serves tuscan food
"
446,inform,"cheap restaurant serving unintellgible food
"
447,request,"whats the postcode
"
448,inform,"id like an indian restaurant
"
449,inform,"i want an expensive restaurant that serves african food
"
450,request,"what area is it
"
451,reqalts,"give me a different restaurant
"
452,confirm,"is there a cheap restaurant that serves vietnamese food
"
453,request,"may i have the phone number
"
454,request,"could i have their phone number as well
"
455,inform,"uh i dont care
"
456,null,"worthless system
"
457,inform,"a moderate restaurant in the west part of town
"
458,inform,"moderate priced restaurant that serves spanish food
"
459,request,"where is the area of the venue
"
460,ack,"okay uh
"
461,inform,"not chinese food thai food
"
462,inform,"restaurant moderate price
"
463,inform,"i want a restaurant in the moderate price range
"
464,inform,"i want to find an expensive restaurant in the east part of t
"
465,inform,"enlish
"
466,hello,"serve hello food
"
467,null,"looking for a
"
468,request,"whats the phone number for that place
"
469,null,"what is the
"
470,request,"breath what type of food is it
"
471,inform,"central
"
472,request,"great whats its address
"
473,null,"static
"
474,inform,"im looking for a moderately priced restaurant that serves international
"
475,inform,"um i dont care i just want traditional food
"
476,request,"what type of food does it have
"
477,inform,"can i have a restaurant in the south part of town
"
478,inform,"im looking for a restaurant in the center of town that serves african
"
479,inform,"im looking for a restaurant in the south part of town it should serve jamaican food
"
480,inform,"i am looking for a moderately priced restaurant in the west part o
"
481,inform,"i would like to find an expensive restaurant that serves japanese food
"
482,affirm,"uh yes can i find an expensive restaurant that serves italian food
"
483,inform,"uh cheap restaurant in north part of town
"
484,inform,"restaurant in north part of town
"
485,inform,"find a restaurant in the south part of town
"
486,request,"can i can i have the address and price
"
487,confirm,"does it serve chinese food
"
488,inform,"im looking for an expensive restaurant that serves thai food
"
489,inform,"im looking an expensive dr expensive restaurant that serves canapes food
"
490,inform,"any area is fine with me
"
491,reqalts,"okay how about a venue with italian food
"
492,inform,"cuban
"
493,request,"could i have the address and phone number please
"
494,reqalts,"another restaurant
"
495,inform,"is there anything in the cheap price range
"
496,repeat,"again please
"
497,affirm,"uh yes turkish food
"
498,request,"what is the golden woks address
"
499,inform,"ah im looking for a restaurant in the center serving french food
"
500,inform,"is there any serving vietnamese
"
501,inform,"moderately priced restaurant serving indian food
"
502,deny,"wrong
"
503,inform,"a restaurant that serves creative food
"
504,inform,"c h e a p cheap
"
505,confirm,"is it expensive
"
506,request,"oh good whats the address
"
507,hello,"hi im looking for an expensive restaurant in the south part of town
"
508,inform,"any range
"
509,reqalts,"how about vietnamese type of food
"
510,request,"may i get the address and restaurant and
"
511,inform,"and the food type
"
512,request,"could i have the address and phone number plea
"
513,affirm,"uh yes i am looking for an expensive restaurant in the south part of
"
514,inform,"im looking for a restaurant in any area that serves persian food
"
515,inform,"im looking for a restaurant in the center serving greek food
"
516,inform,"im looking for an expensive restaurant that serves asian oriental food
"
517,inform,"expensive restaurant that serves vegetarian food
"
518,inform,"i need a moderate priced restaurant in the north part of town
"
519,inform,"uh korean food
"
520,request,"what type of food does the venue
"
521,inform,"i would like an expensive restaurant that serves
"
522,affirm,"yes id like to find a cheap restaurant in the north part of town
"
523,reqalts,"is there a restaurant in the north part of town that serves unusual food
"
524,inform,"can i get a restaurant in the east part of town that serves italian food
"
525,inform,"its a restaurant in the south of town that serves italian food
"
526,inform,"restaurant in the center serving persian food
"
527,inform,"moderately priced restaurant that serves thai food
"
528,inform,"im looking for moderately priced restaurant
"
529,reqalts,"uh is there anything else
"
530,inform,"unintelligible expensive
"
531,inform,"noise im looking for a restaurant that serves scottish food
"
532,bye,"awesome thanks good bye
"
533,inform,"lebanse
"
534,reqalts,"what about thai
"
535,inform,"im looking in the south of the town
"
536,thankyou,"thank you goodbye noise
"
537,inform,"cuban food
"
538,confirm,"and is this a moderately priced restaurant
"
539,inform,"what about a moderately priced re
"
540,inform,"can i get a restaurant in the center
"
541,inform,"find a moderately priced restaurant that serves bask food
"
542,reqalts,"how about asian oriental type of food
"
543,reqalts,"how about any part of town
"
544,negate,"no asian oriental
"
545,reqalts,"how about gastro pub
"
546,inform,"im looking for portuguese food
"
547,reqalts,"what about chinese type of food
"
548,inform,"i want to find a restaurant in the east part of town
"
549,request,"can i have the address and the
"
550,inform,"that serves korean food
"
551,inform,"im looking for a moderately price restaurant that serves halo food
"
552,inform,"i want english food in the center of town
"
553,request,"okay address phone number and post code please
"
554,inform,"moderate price restaurant
"
555,inform,"um im looking for a moderately priced restaurant in the south part of town
"
556,inform,"im looking for a cheap restaurant serving international food
"
557,inform,"moderately priced restaurant south part of town
"
558,inform,"the west part of town
"
559,request,"okay and can i get the address
"
560,inform,"uh id like a moderately priced restaurant in the north part
"
561,inform,"restaurant center spanish food
"
562,inform,"moderate range
"
563,request,"okay what type of food do they serve
"
564,inform,"id like a moderately priced restaurant that serves cuban food please
"
565,inform,"moderately priced in the south part of town
"
566,inform,"im looking for a restaurant in the east part of town that serves chinese
"
567,inform,"european type of food
"
568,request,"what part
"
569,confirm,"is it an expensive restaurant
"
570,inform,"im looking for a cheap restaurant with spanish food
"
571,request,"may i have their phone number please
"
572,confirm,"does it serve baskey food
"
573,inform,"looking for welsh food
"
574,reqalts,"is there anything else
"
575,negate,"no okay thats fine what about french food
"
576,inform,"uh the north
"
577,reqalts,"how about a restaurant that serves french food
"
578,reqalts,"how about the south part of town
"
579,inform,"serving romania food
"
580,inform,"im looking for a restaurant in the south of town serving chinese food
"
581,inform,"im looking for something in the west side
"
582,inform,"um spanish food
"
583,inform,"im looking for a restaurant in the center of town that serves mediterranean
"
584,inform,"looking for something moderately priced in the south of town
"
585,inform,"i need an expensive restaurant
"
586,request,"can i get their phone number
"
587,request,"where is the address and phone number
"
588,reqalts,"is there another
"
589,hello,"hi i would like a cheap restaurant in the north part of town
"
590,inform,"find a cheap restaurant
"
591,hello,"hi im looking for a moderately priced restaurant in the south part of town
"
592,inform,"im looking for a restaurant in the south part of town that serves indian
"
593,inform,"christmas
"
594,inform,"oriental food
"
595,request,"what is its address phone number and area
"
596,inform,"i dont care thank you good bye
"
597,request,"do you have the phone number and post code
"
598,affirm,"uh yes im looking for an expensive restaurant that serves korean food
"
599,request,"ts the phone number
"
600,inform,"im looking for a moderately priced in the south
"
601,request,"see phone number and address
"
602,inform,"im looking for a restaurant that serves mediterranean food
"
603,inform,"im looking for asian oriental food
"
604,inform,"im looking for a restaurant serving romanian food
"
605,inform,"do you have christmas food
"
606,request,"whats your phone number and post code
"
607,inform,"restaurant in the west part of town that serves ca
"
608,inform,"find asian oriental
"
609,inform,"any anything else
"
610,inform,"im looking for a restaurant in the west part of town that serves halo food
"
611,reqalts,"how about a restaurant in the west part of town that serves vietnamese food
"
612,inform,"are there any serves asian oriental
"
613,inform,"looking for a singaporean restaurant in the center
"
614,inform,"australian
"
615,inform,"it doesnt matter hungarian food
"
616,inform,"id like an expensive restaurant in the south part of town
"
617,thankyou,"okay thank you and goodbye
"
618,inform,"seafood
"
619,null,"do they serve
"
620,inform,"a restaurant in
"
621,reqalts,"give me another one
"
622,thankyou,"tv_noise thank you goodbye
"
623,hello,"hi im looking for an restaurant in the center that serves korean food
"
624,inform,"that information does not matter
"
625,inform,"im looking for one that serves asian oriental food
"
626,request,"um can i get the address and phone number
"
627,hello,"hi noise
"
628,reqalts,"how about itailian
"
629,request,"what is the address noise
"
630,reqalts,"what about any area
"
631,inform,"english food center part of town
"
632,inform,"eritrean food in the east part of town
"
633,inform,"im looking for a restaurant in the center and it should serve traditional food
"
634,thankyou,"thank thank
"
635,request,"what is the phone number and address
"
636,null,"so
"
637,inform,"im looking for a restaurant in the center that serves bistro food
"
638,inform,"id like a restaurant in south part of town that serves japanese
"
639,inform,"a cheap restaurant serving caribbean food
"
640,inform,"im looking for a restaurant that serves unintelligible food
"
641,request,"and what type of food do they serve
"
642,inform,"i want to find a restaurant in the center and it should serve corsica food
"
643,inform,"ok talian food
"
644,inform,"welsh food
"
645,inform,"i would like to find a cheap restaurant in the south part of town
"
646,reqalts,"okay how bout thai food
"
647,inform,"british
"
648,inform,"expensive restaurant serve korean food
"
649,null,"sorry
"
650,negate,"no no
"
651,reqalts,"how about in any price range
"
652,hello,"hi i need a cheap restaurant in the south part of town
"
653,inform,"im looking for a moderately priced restaurant in the south part of town
"
654,request,"give me the phone number
"
655,inform,"id like to find an expensive restaurant
"
656,request,"may i have the address phone number and post code
"
657,request,"and can i have the post code please
"
658,affirm,"yes im looking for english food
"
659,inform,"danish food in the center of town
"
660,null,"system
"
661,inform,"im looking for a european restaurant in center area
"
662,thankyou,"thank you goodb
"
663,thankyou,"uh okay thank you good bye
"
664,inform,"moderately priced restaurant in east part of town
"
665,reqalts,"how about chinese restaurants
"
666,null,"nothing
"
667,inform,"i am looking for a restaurant in the north part of town it shou
"
668,reqalts,"how about european type food
"
669,inform,"i want a scandinavian restaurant thats expensive
"
670,reqalts,"what about a restaurant that serves chinese food
"
671,inform,"cheap restaurant that serves turkish food
"
672,request,"can you give me the address and price range
"
673,inform,"im looking for a restaurant that serves thai food and i dont care about the price
"
674,inform,"im looking for something moderately priced
"
675,inform,"looking for a restaurant in the north part of town and it should serve korean food
"
676,affirm,"um yes
"
677,confirm,"is that asian oriental type of food
"
678,null,"do they have
"
679,confirm,"is it in the east of town
"
680,reqalts,"ok how about chinese food
"
681,reqalts,"how about a restaurant in the north part of town that sells french food
"
682,deny,"no i dont want chinese i want thai food
"
683,inform,"im looking for a restaurant serving unintelligible
"
684,reqalts,"okay how about any part of town
"
685,inform,"class over
"
686,inform,"i would like some danish food
"
687,affirm,"yes can i have malaysian food
"
688,inform,"i want african food
"
689,reqalts,"is there any other restaurant
"
690,inform,"iam looking for a restaurant in any area that serves swiss food
"
691,request,"uh i want to know the address and phone number
"
692,affirm,"yes yea
"
693,inform,"i want a cheap restaurant that serves cuban food
"
694,inform,"can i find a restaurant that serves international food
"
695,inform,"im looking for a thai restaurant
"
696,inform,"dont matter
"
697,inform,"moderate price in south
"
698,inform,"looking for an expensive restaurant that
"
699,reqalts,"can you give me a restaurant in east part of town and
"
700,inform,"im looking for a cheap restaurant that serves
"
701,inform,"im looking for a portuguese restaurant
"
702,reqalts,"how about asian oriental food
"
703,null,"moder
"
704,inform,"can i have a seafood restaurant please
"
705,request,"whats the address and the phone number
"
706,thankyou,"thank you noise
"
707,hello,"hello im looking for an expensive restaurant
"
708,inform,"id like moderately priced moroccan food
"
709,inform,"veitnamese
"
710,request,"and what area is that
"
711,inform,"i would like to find a moderately priced restaurant
"
712,inform,"im looking for a restaurant in the south part of town that serves french food
"
713,inform,"uh cheap restaurant in the north part of town
"
714,inform,"in the west
"
715,request,"may i get the address
"
716,inform,"expensive restaurant in the east part of town
"
717,request,"uh what its phone number
"
718,request,"whats the phone number again
"
719,inform,"i want a french restaurant that serves expensive food
"
720,inform,"indian food in the south part of town
"
