,dialog_act,utterance
376,inform,"im looking for something moderate
"
377,negate,"no
"
378,request,"and the phone number
"
379,inform,"im looking for a moderately priced restaurant in the south part of town
"
380,request,"may i have the phone number
"
381,null,"sil
"
382,request,"tell me the address
"
383,inform,"i dont care
"
384,null,"noise
"
385,affirm,"yes
"
386,inform,"south
"
387,thankyou,"thank you good bye
"
388,negate,"no something else
"
389,thankyou,"thank you
"
390,request,"what is the address
"
391,inform,"any
"
392,inform,"i want a restaurant that serves portuguese food
"
393,inform,"i dont care
"
394,inform,"italian
"
395,request,"whats the phone number
"
396,inform,"expensive
"
397,request,"whats the phone number and post code
"
398,inform,"greek
"
399,inform,"expensive
"
400,thankyou,"thank you goodbye
"
401,inform,"can i get a restaurant
"
402,affirm,"correct
"
403,inform,"japanese
"
404,inform,"japanese
"
405,inform,"im looking for a cheap restaurant that serves tuscan food
"
406,request,"and the phone number
"
407,negate,"no
"
408,inform,"the north part of tow
"
409,inform,"polynesian food
"
410,request,"phone number
"
411,inform,"expensive
"
412,inform,"im looking for a moderately priced restaurant in the north
"
413,request,"whats the address
"
414,inform,"european european
"
415,request,"and where is it
"
416,thankyou,"thank you good bye
"
417,inform,"in the center
"
418,request,"what is the price range
"
419,reqalts,"how about spanish
"
420,request,"address noise
"
421,request,"what is the phone number and type of food
"
422,negate,"no
"
423,inform,"lebanese
"
424,request,"what is the address
"
425,inform,"belgium
"
426,negate,"no
"
427,inform,"im looking for an ex
"
428,inform,"irish
"
429,inform,"european food
"
430,request,"address
"
431,inform,"any area
"
432,null,"noise
"
433,request,"address and phone number
"
434,inform,"im looking for a cheap restaurant in the south part of town
"
435,inform,"irish food
"
436,repeat,"repeat
"
437,bye,"k you goodbye
"
438,reqalts,"i hate golden wok is there anything else
"
439,reqalts,"how about the south part of town
"
440,reqalts,"how about thai food
"
441,request,"phone number
"
442,inform,"cuban
"
443,affirm,"yes
"
444,inform,"unintelligible irish food
"
445,null,"can i
"
446,request,"what type of food
"
447,request,"what is the post code
"
448,request,"phone number
"
449,thankyou,"thank you good bye
"
450,null,"thats fine
"
451,inform,"west
"
452,request,"address
"
453,negate,"no
"
454,inform,"european food
"
455,null,"unintelligible
"
456,thankyou,"thank you goodbye
"
457,affirm,"yes
"
458,request,"phone number
"
459,inform,"center
"
460,thankyou,"thank you good bye
"
461,inform,"the west
"
462,request,"whats the address
"
463,inform,"south
"
464,inform,"im looking for a restaurant in the south part of town
"
465,inform,"portuguese
"
466,bye,"see you goodbye
"
467,inform,"i do not care
"
468,request,"can i have the address and phone number
"
469,inform,"swedish food
"
470,request,"whats the post code
"
471,request,"address
"
472,request,"and the post code
"
473,request,"phone number
"
474,request,"whats the address
"
475,affirm,"uh yes
"
476,inform,"korean food
"
477,request,"can i have the address please
"
478,inform,"any
"
479,inform,"italian food
"
480,inform,"im looking for portuguese food
"
481,request,"whats the phone number
"
482,thankyou,"thank you
"
483,request,"whats the phone number
"
484,inform,"doesnt matter
"
485,affirm,"yes
"
486,null,"cough
"
487,thankyou,"thank you good bye
"
488,request,"address
"
489,reqalts,"how about asian oriental food
"
490,inform,"any kind
"
491,inform,"thai food
"
492,null,"unintelligible
"
493,thankyou,"thank you good bye
"
494,request,"whats the address
"
495,thankyou,"thank you good bye
"
496,request,"type of food does it serve
"
497,inform,"i would like to find a moderately priced restaurant
"
498,bye,"okay good bye
"
499,inform,"unintelligible food
"
500,request,"phone number
"
501,request,"phone number
"
502,inform,"any kind of food
"
503,inform,"any
"
504,inform,"im looking for a korean restaurant
"
505,inform,"north
"
506,inform,"doesnt matter
"
507,thankyou,"thank you goodbye
"
508,thankyou,"thank you good bye
"
509,inform,"moderately priced restaurant
"
510,thankyou,"thank you good bye
"
511,affirm,"yes
"
512,inform,"i dont care
"
513,affirm,"yes
"
514,inform,"im looking for a moderately priced restaurant in the south part of town
"
515,inform,"gastropub
"
516,inform,"asian
"
517,inform,"i dont care
"
518,thankyou,"thank you good bye
"
519,null,"i need
"
520,inform,"east
"
521,inform,"expensive
"
522,reqalts,"how about asian oriental food
"
523,thankyou,"thank you good bye
"
524,inform,"im looking for a moderate priced restaurant in south part of
"
525,request,"area
"
526,request,"address
"
527,request,"address
"
528,inform,"i dont care
"
529,reqalts,"how about indian
"
530,request,"address
"
531,request,"postcode
"
532,null,"uh
"
533,negate,"no
"
534,thankyou,"okay thank you good bye
"
535,request,"address
"
536,thankyou,"thank you good bye
"
537,inform,"spanish
"
538,request,"address
"
539,inform,"moderate
"
540,affirm,"yes
"
541,thankyou,"thank you good bye
"
542,request,"what is the address
"
543,request,"phone number
"
544,inform,"looking for a cheap restaurant in the north part of town
"
545,inform,"expensive
"
546,thankyou,"thank you good bye
"
547,inform,"i dont care
"
548,request,"what type of food does it serve
"
549,request,"phone number
"
550,inform,"restaurant
"
551,request,"address
"
552,reqalts,"is there anything else
"
553,null,"unintelligible
"
554,request,"can i have the post code
"
555,request,"phone number
"
556,affirm,"yes
"
557,request,"whats the address
"
558,inform,"i dont care
"
559,inform,"swedish food
"
560,reqalts,"how about international
"
561,inform,"indian
"
562,inform,"spanish
"
563,inform,"south
"
564,request,"and their phone number
"
565,request,"post code
"
566,thankyou,"thank you good bye
"
567,null,"sil
"
568,repeat,"can you repeat that
"
569,request,"what is the signature dish
"
570,reqalts,"is there anything else
"
571,inform,"afghan
"
572,null,"noise
"
573,request,"address and postcode
"
574,inform,"moderately priced restaurant in the north part of town
"
575,request,"whats the address
"
576,request,"and whats the address
"
577,null,"noise
"
578,inform,"romanian food
"
579,thankyou,"thank you good bye
"
580,request,"can i get the address
"
581,inform,"im looking for an expensive restaurant in the south part of town
"
582,affirm,"yes
"
583,inform,"i am looking for an expensive restaurant on the east part of town
"
584,thankyou,"thank you good bye
"
585,thankyou,"thank you good bye
"
586,null,"noise
"
587,thankyou,"thank you good bye
"
588,affirm,"yes
"
589,inform,"sea food
"
590,inform,"seafood
"
591,inform,"south
"
592,bye,"good bye
"
593,inform,"mediterranean
"
594,affirm,"yea
"
595,null,"unintelligible
"
596,thankyou,"thank you good bye
"
597,hello,"hi looking for a moderately priced restaurant
"
598,inform,"west
"
599,inform,"east
"
600,inform,"doesnt matter
"
601,inform,"italian
"
602,inform,"russian food
"
603,request,"address
"
604,request,"the address
"
605,request,"what is the address and type of food
"
606,request,"uh can i have the address
"
607,request,"whats the address
"
608,null,"so
"
609,null,"noise
"
610,request,"the address
"
611,request,"whats the address
"
612,inform,"im looking for a moderately priced rest
"
613,request,"can i get the address
"
614,inform,"i dont care
"
615,thankyou,"thank you good bye
"
616,inform,"im looking for a cheap restaurant in the west part of town
"
617,request,"post code
"
618,inform,"im looking for a restaurant in the north part of town that serves korean food
"
619,thankyou,"thank you good bye
"
620,request,"phone number
"
621,inform,"restaurant any area japanese food
"
622,inform,"american
"
623,affirm,"yea
"
624,thankyou,"thank you good bye
"
625,request,"address
"
626,request,"what is the phone number
"
627,inform,"in the east
"
628,inform,"im looking for a restaurant in the west part of town that serves
"
629,thankyou,"thank you good bye
"
630,inform,"italian
"
631,inform,"italian
"
632,request,"part of town
"
633,thankyou,"thank you good bye
"
634,thankyou,"thank you good bye
"
635,inform,"dont care
"
636,negate,"no
"
637,inform,"korean food
"
638,affirm,"right
"
639,null,"noise
"
640,affirm,"yes
"
641,inform,"looking for a japanese restaurant in the center
"
642,inform,"im looking for a cheap restaurant that serves belgian food
"
643,request,"phone number
"
644,inform,"moderately priced
"
645,inform,"i want spanish food
"
646,inform,"the south part
"
647,thankyou,"thank you good bye
"
648,inform,"expensive
"
649,thankyou,"thank you good bye
"
650,reqalts,"how about italian food
"
651,inform,"any
"
652,inform,"asian food
"
653,request,"what type of food do they serve
"
654,inform,"north part of town
"
655,affirm,"yes
"
656,request,"can i get the address and phone number please
"
657,inform,"mediterranean
"
658,thankyou,"thank you goodbye
"
659,null,"noise
"
660,inform,"dont care
"
661,request,"what type of food
"
662,request,"post code
"
663,inform,"a moderately priced restaurant in the south part of town
"
664,reqalts,"how about chinese food
"
665,negate,"no
"
666,request,"okay can i get the phone number
"
667,inform,"cheap restaurant that serves german food
"
668,inform,"i dont care
"
669,inform,"north
"
670,reqalts,"is there anything else
"
671,request,"address
"
672,inform,"romanian
"
673,request,"can i have the address
"
674,confirm,"does it serve chinese food
"
675,request,"what is the address
"
676,inform,"any area
"
677,request,"what is the address and phone number
"
678,bye,"good bye
"
679,request,"can i have the address and phone number
"
680,request,"what is the phone number
"
681,inform,"french food
"
682,inform,"european food
"
683,request,"part of town
"
684,request,"what type of food
"
685,thankyou,"thank you goodbye
"
686,request,"address
"
687,request,"phone number
"
688,inform,"i would like a african restaurant in the center of town
"
689,inform,"im looking for pollynasian food
"
690,negate,"no italian food
"
691,inform,"moderate
"
692,inform,"noise im looking for a restaurant that serves scottish food
"
693,thankyou,"thank you goodbye
"
694,inform,"european food
"
695,null,"unintelligible
"
696,thankyou,"thank you good bye
"
697,thankyou,"thank you good bye
"
698,inform,"cheap in the west part of town
"
699,request,"address phone number
"
700,inform,"expensive restaurant south part of town
"
701,inform,"expensive
"
702,inform,"it doesnt matter
"
703,request,"phone number
"
704,thankyou,"thank you good bye
"
705,inform,"any
"
706,request,"their address
"
707,inform,"im looking for an expensive restaurant in the south
"
708,inform,"christmas
"
709,inform,"i dont care
"
710,request,"phone number
"
711,thankyou,"okay thank you bye
"
712,inform,"im looking for a restaurant in the center
"
713,request,"can i have the address
"
714,thankyou,"thank you goodbye
"
715,inform,"expensive
"
716,inform,"okay moderate price range
"
717,request,"can i have the phone number
"
718,inform,"looking for a restaurant in any area
"
719,inform,"i would like to find a moderately priced restaurant in the north part of town
"
720,request,"post code
"
721,inform,"im looking for
"
722,request,"phone number
"
723,request,"phone number
"
724,inform,"restaurant
"
725,affirm,"yes
"
726,affirm,"yes
"
727,inform,"i would like to find a moderately priced restaurant in the north part of town please
"
728,inform,"im looking for a restaurant that serves thai food
"
729,thankyou,"thank you goodbye
"
730,inform,"change that to mediterranean food
"
731,inform,"chinese
"
732,request,"address
"
733,request,"post code
"
734,inform,"north
"
735,inform,"i dont care
"
736,request,"whats the address
"
737,bye,"good bye thank you good bye
"
738,request,"what is the address and post code
"
739,null,"unintelligible
"
740,inform,"dont care
"
741,inform,"i want a moderately priced restaurant in the north part of town
"
742,inform,"cheap
"
743,reqalts,"what about in the west area
"
744,inform,"in the center of town
"
745,affirm,"yes
"
746,request,"and the address noise
"
747,reqalts,"how about in any area
"
748,inform,"i need a restaurant in the north part of town that serves lebanese food
"
749,thankyou,"thank you good bye
"
750,request,"whats the address
"
751,inform,"im looking for a cheap creative food restaurant
"
752,request,"whats the addre
"
753,inform,"looking for a cheap restaurant in the south part of town
"
754,inform,"i need a place in the centre of town that serves mexican food
"
755,request,"whats the phone number
"
756,inform,"im looking for a restaurant in the west
"
757,confirm,"is it expensive
"
758,inform,"im looking for a restaurant in the west part of town serving
"
759,inform,"east
"
760,thankyou,"okay thank you goodbye
"
761,request,"phone number
"
762,request,"whats the phone number
"
763,thankyou,"thank you goodbye
"
764,request,"what is their address
"
765,request,"well can i get the address and the post code
"
766,inform,"it doesnt matter
"
767,request,"can i have an address
"
768,thankyou,"thank you good bye
"
769,inform,"the east part
"
770,request,"address
"
771,inform,"unusual food
"
772,inform,"cuban
"
773,request,"what kind of food do they serve
"
774,inform,"italian food
"
775,reqalts,"how about turkish food
"
776,null,"that serves viet
"
777,request,"whats the telephone number
"
778,request,"whats the post code
"
779,reqalts,"how about vietnamese type of food
"
780,inform,"i dont care
"
781,inform,"im looking for a cheap restaurant and it should serve polish food
"
782,request,"phone number
"
783,negate,"no
"
784,inform,"south
"
785,request,"how about the phone number
"
786,inform,"cheap
"
787,reqalts,"anything else
"
788,request,"can you give me the address and phone number
"
789,request,"what is the address and phone number
"
790,affirm,"yes
"
791,inform,"thai food
"
792,inform,"vietnamese food
"
793,inform,"it doesnt matter
"
794,null,"sil
"
795,inform,"in the inner south
"
796,request,"whats the address
"
797,thankyou,"thank you good bye
"
798,null,"system
"
799,request,"phone number
"
800,request,"phone number
"
801,inform,"cheap
"
802,request,"phone number
"
803,null,"is there one serving
"
804,thankyou,"thank you good bye
"
805,request,"whats the phone number
"
806,inform,"i am looking for a restaurant in the center that serves korean food
"
807,confirm,"is it in the north part of tow
"
808,inform,"moderate
"
809,inform,"cheap restaurant that serves
"
810,inform,"any
"
811,affirm,"yea
"
812,request,"what is the post code
"
813,affirm,"yes
"
814,request,"address
"
815,inform,"dont care
"
816,request,"what is the address and phone number
"
817,inform,"dont care
"
818,null,"sil
"
819,thankyou,"thank you good bye
"
820,inform,"international food
"
821,affirm,"yes
"
822,thankyou,"thank you goodbye
"
823,inform,"noise looking for an expensive restaurant in the south part of town
"
824,request,"can i have the address
"
825,inform,"spanish food
"
826,affirm,"yes
"
827,null,"tape
"
828,inform,"in the south part of town
"
829,request,"what area
"
830,reqalts,"what about any area
"
831,inform,"i would like to find a moderately priced restaurant and it should be in the east part of town
"
832,reqalts,"how about british
"
833,request,"address
"
834,negate,"no catalan food
"
835,thankyou,"thank you goodbye noise
"
836,inform,"im looking for a restaurant in the east part of town serving chinese food
"
837,inform,"i am looking for a moderately priced restaurant in the west part of town
"
838,null,"unintelligible
"
839,inform,"south
"
840,inform,"indian
"
841,inform,"bistro food
"
842,reqalts,"next
"
843,request,"whats the address and phone number
"
844,thankyou,"thank you good bye
"
845,null,"noise
"
846,inform,"west
"
847,inform,"i dont care
"
848,inform,"inexpensive
"
849,request,"and the phone number
"
850,request,"what type of food
"
851,inform,"moroccan food
"
852,inform,"cheap restaurant
"
853,inform,"doesnt matter
"
854,thankyou,"thank you good bye
"
855,request,"address
"
856,inform,"in the south part of town
"
857,thankyou,"thank you
"
858,request,"ah whats the price ran
"
859,request,"post code
"
860,request,"what type of food
"
861,inform,"looking for a restaurant in the center part of town
"
862,reqalts,"how about mediterranean food
"
863,null,"cough
"
864,request,"phone number
"
865,thankyou,"thank you good bye
"
866,affirm,"yes
"
867,reqalts,"anything else
"
868,inform,"i need an expensive restaurant that serves french food
"
869,request,"whats its post code
"
870,request,"may i have the address
"
871,request,"type of food
"
872,inform,"i dont care
"
873,null,"unintelligible
"
874,request,"phone number
"
875,inform,"north part of town
"
876,inform,"portuguese
"
877,inform,"im looking for a restaurant in the west part of town
"
878,inform,"i need a restaurant in the east part of town
"
879,inform,"i want an indonesian restaurant in the north part of town
"
880,request,"phone number
"
881,null,"serving
"
882,request,"phone number
"
883,request,"type of food
"
884,null,"unintelligible
"
885,inform,"traditional food
"
886,inform,"i dont care
"
887,negate,"no thank you good bye
"
888,confirm,"does it serve cheap turkish food
"
889,inform,"vietnamese food
"
890,inform,"i want thai food
"
891,inform,"moderate
"
892,inform,"vietnamese
"
893,request,"phone number
"
894,request,"price range
"
895,inform,"east
"
896,reqalts,"anything else
"
897,affirm,"yes
"
898,inform,"thai
"
899,inform,"expensive
"
900,request,"what is the phone number
"
901,inform,"spanish
"
902,inform,"the south part
"
903,thankyou,"thank you good bye
"
904,null,"noise
"
905,request,"and the post code
"
906,request,"address and phone number
"
907,inform,"im looking for a restaurant that serves mediterranean food
"
908,request,"the address
"
909,inform,"if there is no such venue how about european type of food
"
910,inform,"south
"
911,inform,"i dont care about the price range what is the address
"
912,request,"what is the address phone number price range
"
913,inform,"cheap
"
914,request,"phone number
"
915,null,"sil
"
916,request,"price range
"
917,request,"whats its number
"
918,inform,"im looking for a cheap restaurant
"
919,request,"what is the address
"
920,bye,"alright thank you good bye
"
921,null,"noise
"
922,request,"phone number
"
923,thankyou,"thank you good bye
"
924,inform,"oriental
"
925,thankyou,"thank you good bye
"
926,thankyou,"thank you good bye
"
927,thankyou,"thank you good bye
"
928,inform,"i want vegetarian food
"
929,affirm,"yes
"
930,inform,"find me vietnamese food
"
931,request,"phone number
"
932,affirm,"yea
"
933,inform,"moderate
"
934,affirm,"yes i would like portuguese food
"
935,inform,"breath i want to find a restaurant in the north part of town
"
936,thankyou,"thank you good bye
"
937,inform,"cheap restaurant serving indian food
"
938,inform,"indian food
"
939,inform,"turkish food
"
940,affirm,"yes
"
941,thankyou,"thank you good bye
"
942,request,"what kind of food do they serve
"
943,thankyou,"thank you good bye
"
944,null,"unintelligible
"
945,reqalts,"anything else
"
946,request,"and the address
"
947,request,"area
"
948,request,"phone number
"
949,negate,"no
"
950,request,"can i have the address and post code
"
951,inform,"what asian oriental type of food
"
952,inform,"the west part
"
953,reqalts,"okay what about modern european food
"
954,request,"area
"
955,thankyou,"thank you good bye
"
956,inform,"im looking for french food
"
957,thankyou,"thank you good bye
"
958,inform,"expensive
"
959,request,"may i have the phone number
"
960,thankyou,"thank you good bye
"
961,request,"phone number
"
962,request,"what type of food do they serve
"
